Yazici_Modeli,Nozzle_Capi,Katman_Yuksekligi,Nozzle_Sicakligi,Yatak_Sicakligi,Ortam_Sicakligi,Baski_Hizi,Filament_Tipi,Doluluk_Orani,Doluluk_Deseni,Utuleme,Destek_Tipi,Hata_Detayi,Baski_Durumu
Bambu Lab A1 Combo,0.4,0.12,204,81,25,337.0,PETG,32,Gyroid,0,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V3 SE,0.4,0.12,240,54,37,52.0,TPU,91,Gyroid,1,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.08,195,107,26,68.0,TPU,30,Grid,1,Normal,Basarili,1
VEHO 800,0.4,0.12,258,104,54,304.0,ASA,77,Gyroid,1,Tree,Warping (Kasa Acik),0
Bambu Lab P1S,0.4,0.16,258,71,50,,TPU,12,Gyroid,1,Yok,Basarili,1
Bambu Lab P1S,0.4,0.12,271,50,57,189.0,Recine_UV,19,Grid,0,Tree,Basarili,1
Bambu Lab P1S,0.4,0.28,224,76,51,125.0,ASA,53,Grid,1,Yok,Basarili,1
SV03,0.4,0.16,275,58,54,97.0,TPU,12,Lightning,1,Yok,Basarili,1
Bambu Lab A1,0.4,0.08,223,90,47,96.0,Recine_UV,59,Lightning,0,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.16,252,73,24,433.0,PETG,89,Grid,1,Yok,Basarili,1
Bambu Lab P1S,0.4,0.28,257,110,49,64.0,TPU,62,Cubic,0,Normal,Basarili,1
Bambu Lab A1 Mini Combo,0.6,0.28,207,99,41,229.0,PETG,7,Grid,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.2,0.12,215,92,36,,TPU,13,Grid,0,Yok,Basarili,1
Ender-3 V2,0.4,0.12,275,51,29,410.0,TPU,18,Grid,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.6,0.2,250,101,26,426.0,PLA,95,Grid,0,Normal,Basarili,1
Creality K1C,0.4,0.16,267,105,23,,Recine_UV,24,Grid,0,Tree,Basarili,1
Ender-3 V3 KE,0.4,0.2,263,87,46,264.0,TPU,8,Grid,0,Tree,Basarili,1
Sermoon X1,0.4,0.28,277,79,26,222.0,PETG,28,Grid,0,Yok,Basarili,1
Creality K1C,0.4,0.12,274,63,42,193.0,ABS,95,Grid,1,Tree,Basarili,1
Bambu Lab P1S,0.6,0.12,237,89,30,308.0,PETG,80,Lightning,1,Yok,Basarili,1
Creality K1C,0.6,0.12,261,107,27,430.0,Recine_UV,32,Lightning,1,Yok,Basarili,1
Sidewinder X4 Plus,0.4,0.08,220,82,27,317.0,TPU,92,Lightning,0,Tree,Tikanma (Yetersiz Akis),0
Original Prusa CORE One,0.4,0.28,223,56,56,379.0,ASA,35,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
H2D AMS Combo,0.4,0.12,276,94,24,402.0,PLA,71,Gyroid,0,Tree,Basarili,1
Bambu Lab P1S,0.4,0.28,278,73,26,62.0,ASA,98,Cubic,0,Tree,Basarili,1
Bambu Lab A1 Combo,0.4,0.12,196,109,41,53.0,PLA,68,Cubic,0,Yok,Basarili,1
Photon Mono X2,0.4,0.16,272,99,55,133.0,PLA,95,Grid,0,Normal,Hatali Malzeme (Reçine Cihazi),0
Anycubic Kobra 2 Pro,0.4,0.28,196,90,21,382.0,ASA,21,Lightning,0,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.4,0.2,236,112,43,406.0,Recine_UV,10,Grid,0,Yok,Basarili,1
Ender-3 V3 KE,0.2,0.08,197,74,21,91.0,TPU,86,Grid,0,Tree,Basarili,1
Ender-3 V2,0.4,0.2,267,73,31,378.0,PETG,64,Lightning,0,Tree,Basarili,1
Original Prusa MK4,0.4,0.28,190,55,45,80.0,ASA,95,Grid,1,Yok,Basarili,1
X-Smart 3,0.6,0.12,266,57,57,203.0,ABS,85,Gyroid,0,Tree,Basarili,1
Ender-3 V3 KE,0.2,0.28,192,77,25,45.0,PLA,15,Gyroid,1,Yok,Basarili,1
SV07,0.4,0.08,242,82,42,446.0,PETG,42,Cubic,0,Yok,Basarili,1
Ender-3 V2,0.8,0.28,227,71,21,177.0,ABS,38,Lightning,1,Normal,Basarili,1
Original Prusa MK4,0.4,0.12,240,46,45,138.0,PETG,51,Gyroid,0,Yok,Basarili,1
Ender-3 V2,0.4,0.2,204,85,33,380.0,TPU,36,Cubic,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.2,0.16,256,100,37,263.0,ABS,61,Grid,0,Tree,Basarili,1
Original Prusa MK4,0.4,0.2,253,57,57,355.0,Recine_UV,50,Cubic,1,Tree,Basarili,1
Ender-3 V2,0.4,0.12,257,110,51,69.0,Recine_UV,39,Cubic,0,Normal,Basarili,1
Ender-3 V3,0.4,0.12,194,79,33,264.0,ASA,96,Gyroid,0,Tree,Warping (Kasa Acik),0
HALOT-X1,0.4,0.08,279,89,49,365.0,PETG,26,Cubic,0,Normal,Hatali Malzeme (Reçine Cihazi),0
Mega Zero 2.0,0.6,0.28,278,44,32,300.0,Recine_UV,20,Lightning,0,Normal,Basarili,1
Mars 4,0.4,0.28,199,93,59,286.0,Recine_UV,80,Grid,0,Tree,Basarili,1
Creality K1C,0.2,0.2,197,97,50,118.0,ASA,9,Lightning,1,Yok,Basarili,1
Photon Mono X,0.6,0.16,201,61,56,224.0,ASA,94,Grid,0,Normal,Hatali Malzeme (Reçine Cihazi),0
Photon Mono X2,0.4,0.16,253,113,57,338.0,Recine_UV,30,Lightning,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.08,248,77,41,219.0,PETG,81,Grid,0,Tree,Basarili,1
Ender-3 V3 KE,0.4,0.12,256,88,47,116.0,PETG,28,Lightning,0,Yok,Basarili,1
Sidewinder X3 Plus,0.6,0.08,239,40,38,301.0,PLA,71,Grid,0,Yok,Basarili,1
Ender-3 V2,0.4,0.28,212,75,35,268.0,PLA,36,Gyroid,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.6,0.12,229,67,24,41.0,ABS,27,Cubic,0,Yok,Warping (Soguk Yatak),0
HALOT-Play,0.8,0.08,267,74,21,56.0,ABS,53,Cubic,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Original Prusa MK4,0.4,0.2,276,99,29,383.0,ABS,66,Cubic,0,Tree,Warping (Kasa Acik),0
Anycubic Kobra 2 Pro,0.4,0.28,266,101,38,51.0,PLA,81,Cubic,0,Yok,Basarili,1
Bambu Lab P1S,0.4,0.16,265,85,39,221.0,ASA,83,Grid,1,Tree,Warping (Soguk Yatak),0
Original Prusa MK4,0.4,0.08,207,100,48,373.0,Recine_UV,70,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Original Prusa MK4,0.4,0.28,210,104,44,46.0,TPU,15,Lightning,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.28,190,65,36,285.0,TPU,84,Gyroid,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.4,0.16,227,74,32,196.0,Recine_UV,22,Cubic,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.16,230,96,35,213.0,PETG,14,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.16,231,102,54,368.0,PLA,81,Gyroid,0,Tree,Basarili,1
CR-10 SE,0.4,0.08,198,43,55,373.0,PETG,64,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.2,0.16,212,81,58,220.0,TPU,12,Gyroid,1,Yok,Basarili,1
Creality K1 Max,0.2,0.2,267,84,22,320.0,PETG,75,Cubic,0,Yok,Basarili,1
Mars 4,0.4,0.28,200,78,28,348.0,PLA,52,Lightning,1,Yok,Tikanma (Yetersiz Akis),0
Anycubic Kobra 2 Pro,0.4,0.16,260,104,59,,PLA,85,Gyroid,1,Yok,Basarili,1
Creality K1 Max,0.4,0.28,220,61,48,196.0,PLA,45,Lightning,0,Tree,Basarili,1
Ender-3 Neo,0.4,0.12,277,50,24,290.0,TPU,95,Cubic,1,Yok,Basarili,1
Bambu Lab A1,0.4,0.12,215,76,22,260.0,PLA,12,Lightning,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.16,219,90,29,377.0,ABS,97,Lightning,0,Tree,Tikanma (Yetersiz Akis),0
Vyper,0.2,0.28,223,97,50,262.0,ABS,41,Grid,1,Yok,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.12,235,46,30,250.0,Recine_UV,95,Cubic,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.4,0.16,258,47,36,376.0,PLA,41,Grid,0,Normal,Basarili,1
Ender-3 V3 SE,0.6,0.28,194,90,59,173.0,ABS,68,Gyroid,0,Yok,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.8,0.16,250,62,27,371.0,PLA,63,Grid,0,Yok,Basarili,1
Original Prusa MK4,0.2,0.28,272,48,21,298.0,TPU,92,Cubic,0,Normal,Basarili,1
Creality K1 Max,0.4,0.12,227,85,23,74.0,ABS,49,Grid,0,Tree,Basarili,1
Ender-3 V2,0.6,0.16,217,77,35,222.0,TPU,20,Grid,1,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.12,215,52,40,342.0,ABS,30,Cubic,0,Tree,Tikanma (Yetersiz Akis),0
Ender-3 V3 KE,0.4,0.16,250,46,24,200.0,ASA,35,Lightning,1,Yok,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.08,212,50,54,132.0,ASA,31,Gyroid,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.12,235,113,33,426.0,Recine_UV,94,Grid,0,Yok,Basarili,1
Original Prusa MK4,0.8,0.12,219,89,34,236.0,Recine_UV,47,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.8,0.2,256,106,25,354.0,Recine_UV,19,Grid,1,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.6,0.12,222,80,35,245.0,TPU,62,Gyroid,1,Tree,Basarili,1
Creality K1C,0.4,0.28,192,68,42,391.0,ABS,53,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.6,0.16,258,76,50,57.0,ASA,83,Gyroid,0,Normal,Warping (Kasa Acik),0
Anycubic Kobra 2 Pro,0.2,0.08,272,95,31,273.0,PLA,91,Grid,1,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.28,231,55,38,421.0,PETG,29,Lightning,0,Normal,Basarili,1
Bambu Lab P1S Combo,0.6,0.28,251,83,31,372.0,ASA,72,Lightning,0,Tree,Basarili,1
Bambu Lab X1 Carbon,0.4,0.28,247,89,32,105.0,ASA,40,Lightning,0,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.28,246,110,21,283.0,PLA,84,Cubic,1,Yok,Basarili,1
Replicator+,0.4,0.08,190,45,39,448.0,ASA,51,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Creality K1 Max,0.6,0.2,262,57,50,315.0,ASA,63,Lightning,0,Yok,Warping (Soguk Yatak),0
Bambu Lab X1 Carbon,0.4,0.12,249,58,28,238.0,ASA,89,Gyroid,0,Yok,Basarili,1
Creality K1C,0.4,0.28,258,90,40,57.0,Recine_UV,56,Cubic,0,Tree,Basarili,1
H2D,0.4,0.12,248,105,27,111.0,Recine_UV,44,Gyroid,0,Yok,Basarili,1
V400,0.6,0.12,235,42,58,194.0,ABS,47,Grid,1,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.6,0.28,223,93,56,,Recine_UV,60,Grid,1,Tree,Tikanma (Yetersiz Akis),0
Anycubic Kobra 2 Pro,0.4,0.2,214,88,48,209.0,ASA,85,Gyroid,0,Normal,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.12,231,67,38,361.0,PETG,7,Cubic,0,Tree,Basarili,1
Original Prusa MK3,0.4,0.16,218,77,54,394.0,Recine_UV,75,Lightning,1,Yok,Tikanma (Yetersiz Akis),0
Kobra 2,0.8,0.12,214,67,57,321.0,ABS,16,Lightning,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.4,0.28,243,71,45,190.0,ABS,69,Cubic,0,Yok,Basarili,1
Ender-5 S1,0.8,0.08,262,80,30,300.0,TPU,47,Lightning,1,Yok,Basarili,1
Mars 4,0.4,0.12,256,75,55,119.0,ASA,74,Lightning,1,Normal,Hatali Malzeme (Reçine Cihazi),0
Original Prusa MK4,0.6,0.2,204,75,54,145.0,PETG,50,Gyroid,0,Normal,Basarili,1
Ender-7,0.6,0.16,193,105,23,50.0,PETG,64,Grid,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.16,227,49,22,442.0,TPU,65,Cubic,0,Tree,Basarili,1
Ender-3 V2,0.8,0.08,209,109,31,247.0,PETG,53,Cubic,1,Normal,Basarili,1
Neptune 3 Max,0.4,0.08,212,111,51,435.0,ABS,91,Lightning,1,Normal,Tikanma (Yetersiz Akis),0
Photon Ultra,0.4,0.12,226,102,45,169.0,PLA,29,Lightning,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Creality K1 Max,0.4,0.28,251,61,32,210.0,ABS,93,Grid,1,Tree,Warping (Soguk Yatak),0
QQ-S,0.6,0.2,197,59,57,445.0,Recine_UV,7,Cubic,1,Yok,Basarili,1
Bambu Lab X1 Carbon,0.4,0.16,226,72,48,449.0,PLA,72,Gyroid,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.08,234,54,38,72.0,PETG,67,Grid,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.2,222,46,54,63.0,ASA,34,Gyroid,0,Tree,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.28,196,89,46,236.0,PLA,97,Grid,1,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.16,211,49,50,444.0,ABS,8,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.4,0.16,194,76,22,85.0,ABS,82,Gyroid,0,Tree,Basarili,1
Replicator Mini,0.6,0.28,204,98,54,313.0,Recine_UV,89,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Ender-3 V3 SE,0.4,0.16,210,114,43,270.0,ABS,75,Cubic,0,Yok,Warping (Kasa Acik),0
Ultimaker 2,0.4,0.28,278,102,26,172.0,Recine_UV,25,Lightning,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.4,0.16,206,60,54,303.0,ABS,75,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.4,0.12,245,76,40,124.0,TPU,5,Gyroid,0,Yok,Basarili,1
Creality K1C,0.6,0.28,239,84,20,406.0,PETG,64,Lightning,0,Normal,Basarili,1
Ender-3 V3 SE,0.8,0.2,196,53,25,352.0,ASA,38,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab P1S Combo,0.4,0.12,239,82,58,44.0,Recine_UV,91,Grid,0,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.2,249,72,53,308.0,TPU,7,Lightning,0,Yok,Basarili,1
Bambu Lab A1,0.6,0.16,272,42,37,378.0,PETG,22,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.6,0.2,196,83,44,260.0,Recine_UV,47,Gyroid,0,Yok,Basarili,1
Original Prusa MK4,0.4,0.12,229,74,34,233.0,PLA,80,Lightning,0,Yok,Basarili,1
Bambu Lab A1,0.8,0.28,234,64,51,385.0,TPU,82,Cubic,0,Tree,Basarili,1
Photon M3 Premium,0.4,0.08,248,47,37,108.0,Recine_UV,45,Grid,1,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.2,277,101,50,327.0,TPU,96,Gyroid,0,Normal,Basarili,1
QQ-S Pro,0.2,0.08,264,57,48,397.0,TPU,28,Cubic,0,Tree,Basarili,1
Photon,0.4,0.2,244,67,34,,TPU,28,Lightning,0,Normal,Hatali Malzeme (Reçine Cihazi),0
Genius Pro,0.4,0.2,253,114,42,425.0,PLA,7,Grid,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.28,254,51,57,364.0,ABS,63,Gyroid,0,Normal,Warping (Kasa Acik),0
Ender-3 V2,0.4,0.16,243,103,30,278.0,TPU,62,Cubic,0,Tree,Basarili,1
Bambu Lab A1 Mini,0.6,0.12,229,41,34,218.0,PETG,77,Grid,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.12,242,98,42,,ABS,28,Grid,1,Yok,Warping (Kasa Acik),0
K2 Combo,0.4,0.12,233,76,22,250.0,PLA,70,Cubic,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.6,0.16,252,43,38,438.0,ASA,44,Gyroid,0,Normal,Warping (Kasa Acik),0
Form 3+,0.6,0.08,191,80,20,266.0,PLA,96,Cubic,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Genius Pro,0.6,0.12,268,84,43,,ASA,75,Grid,0,Tree,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.08,210,73,30,406.0,PETG,13,Grid,0,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V3 KE,0.4,0.16,277,52,49,104.0,ASA,64,Lightning,0,Yok,Warping (Kasa Acik),0
H2D AMS Combo,0.8,0.16,239,46,30,205.0,Recine_UV,43,Gyroid,0,Tree,Basarili,1
Bambu Lab A1 Mini,0.4,0.28,270,71,58,253.0,TPU,37,Cubic,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.12,241,62,20,56.0,ABS,38,Gyroid,0,Tree,Warping (Soguk Yatak),0
Mega S,0.4,0.28,198,88,31,375.0,Recine_UV,66,Gyroid,0,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.4,0.12,209,111,23,212.0,ABS,89,Grid,1,Normal,Warping (Kasa Acik),0
Ultimaker 2,0.4,0.16,272,86,44,168.0,TPU,65,Lightning,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.16,207,76,27,42.0,ABS,97,Cubic,1,Normal,Warping (Soguk Yatak),0
Anycubic Kobra 2 Pro,0.4,0.2,273,87,34,,PLA,31,Cubic,0,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.2,219,68,49,423.0,TPU,21,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.6,0.16,254,76,59,287.0,TPU,64,Lightning,1,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.16,213,62,51,109.0,ABS,46,Grid,1,Yok,Warping (Soguk Yatak),0
Elegoo Neptune 4 Pro,0.8,0.08,277,77,54,91.0,Recine_UV,51,Grid,1,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.08,236,83,40,417.0,ASA,91,Cubic,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.4,0.28,272,44,50,298.0,PETG,57,Lightning,1,Yok,Basarili,1
Ender-3 V2,0.6,0.2,279,91,55,278.0,ASA,25,Gyroid,0,Normal,Warping (Kasa Acik),0
QQ-S,0.6,0.2,233,79,46,133.0,PLA,12,Gyroid,1,Yok,Basarili,1
Creality K1C,0.8,0.16,218,50,27,86.0,TPU,77,Lightning,1,Yok,Basarili,1
Ender-3 V2,0.4,0.16,266,41,42,114.0,TPU,62,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.28,257,74,42,130.0,PLA,72,Gyroid,0,Normal,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.2,206,84,52,125.0,PETG,67,Gyroid,1,Normal,Basarili,1
K2,0.6,0.08,194,88,32,45.0,TPU,63,Lightning,0,Tree,Basarili,1
Ender-3 V3 KE,0.6,0.12,277,74,58,269.0,ASA,86,Grid,0,Tree,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.28,270,111,54,390.0,PLA,34,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.12,239,71,35,356.0,TPU,29,Grid,0,Normal,Basarili,1
K2 SE,0.6,0.08,229,107,31,82.0,ASA,60,Gyroid,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.4,0.08,235,110,50,351.0,PLA,38,Cubic,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.2,0.12,240,78,24,237.0,PLA,54,Grid,0,Tree,Basarili,1
SV06,0.6,0.28,200,87,59,409.0,PLA,6,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.4,0.12,201,76,44,443.0,PETG,81,Grid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.6,0.28,202,99,40,342.0,PLA,57,Lightning,0,Tree,Tikanma (Yetersiz Akis),0
K1 SE,0.4,0.28,253,113,22,221.0,Recine_UV,45,Lightning,1,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.16,197,43,29,208.0,ABS,27,Gyroid,0,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.2,254,62,42,242.0,ABS,65,Cubic,1,Yok,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.4,0.2,198,53,36,233.0,PLA,91,Grid,1,Yok,Basarili,1
Voron 2,0.4,0.08,191,44,54,70.0,TPU,35,Cubic,0,Yok,Basarili,1
Guider 3 Plus,0.6,0.16,267,105,44,141.0,ABS,70,Cubic,0,Tree,Warping (Kasa Acik),0
Ender-3 V2,0.4,0.2,202,63,21,103.0,ASA,6,Gyroid,1,Tree,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.28,191,57,46,385.0,ASA,73,Lightning,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.4,0.28,257,66,28,130.0,TPU,64,Grid,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.6,0.12,265,63,23,289.0,ASA,82,Gyroid,0,Yok,Warping (Soguk Yatak),0
Ender-3 V3 KE,0.6,0.12,237,68,45,222.0,Recine_UV,27,Cubic,0,Normal,Basarili,1
Bambu Lab X1 Carbon,0.6,0.28,263,50,51,341.0,TPU,61,Lightning,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.28,192,57,48,405.0,ASA,39,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Creality K1 Max,0.6,0.12,257,43,41,390.0,PLA,5,Grid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.2,195,72,32,319.0,ASA,52,Lightning,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1,0.4,0.08,276,81,42,244.0,PLA,53,Cubic,1,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.12,194,71,50,128.0,ASA,44,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab P1S Combo,0.6,0.2,192,90,55,332.0,ASA,66,Cubic,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1,0.6,0.2,199,43,59,448.0,ASA,19,Grid,1,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1,0.4,0.2,232,59,50,324.0,PLA,34,Cubic,0,Yok,Basarili,1
Original Prusa MK4,0.4,0.16,208,106,34,198.0,ASA,25,Lightning,0,Yok,Warping (Kasa Acik),0
Creality K1C,0.6,0.16,203,107,33,402.0,ASA,12,Lightning,1,Tree,Tikanma (Yetersiz Akis),0
Ender-3 V3 KE,0.2,0.2,210,101,54,169.0,Recine_UV,11,Grid,1,Yok,Basarili,1
Ender-3 V2,0.8,0.28,232,97,43,287.0,PETG,38,Grid,0,Tree,Basarili,1
K1,0.4,0.16,217,86,49,179.0,PLA,68,Lightning,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.12,210,114,49,428.0,Recine_UV,46,Grid,0,Normal,Basarili,1
Sermoon S1,0.4,0.16,225,98,46,228.0,ABS,57,Cubic,0,Normal,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.4,0.28,213,45,59,130.0,TPU,74,Gyroid,0,Tree,Basarili,1
Ender-3 V3 KE,0.8,0.08,243,79,33,95.0,PETG,14,Cubic,0,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.16,227,62,30,265.0,Recine_UV,94,Cubic,0,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.2,206,91,45,373.0,Recine_UV,62,Grid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab P1S,0.4,0.2,211,43,40,366.0,ASA,94,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Form 3,0.4,0.2,272,76,28,204.0,ABS,87,Lightning,1,Tree,Hatali Malzeme (Reçine Cihazi),0
Neptune 2,0.2,0.08,234,81,20,75.0,ABS,8,Grid,1,Tree,Warping (Kasa Acik),0
Photon Mono 2,0.4,0.28,263,83,25,369.0,ASA,93,Cubic,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Original Prusa MK4,0.8,0.12,250,81,20,68.0,Recine_UV,12,Gyroid,0,Tree,Basarili,1
Bambu Lab P1S,0.4,0.28,200,68,41,,Recine_UV,16,Grid,0,Yok,Basarili,1
Creality K1C,0.4,0.08,250,58,32,,ASA,92,Cubic,1,Normal,Basarili,1
Photon D2,0.4,0.2,227,71,57,,PETG,92,Cubic,0,Normal,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V2,0.4,0.28,255,83,59,72.0,PLA,85,Lightning,0,Normal,Basarili,1
Bambu Lab A1 Mini,0.4,0.12,222,94,50,132.0,PETG,29,Lightning,0,Normal,Basarili,1
Ender-3 V3 SE,0.6,0.2,232,44,34,151.0,PLA,31,Gyroid,0,Tree,Basarili,1
Ender-3 V3 KE,0.4,0.12,220,85,21,418.0,ABS,6,Cubic,1,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.4,0.16,224,84,50,248.0,TPU,77,Cubic,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.12,226,60,45,436.0,ASA,59,Lightning,0,Normal,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.8,0.2,236,61,21,429.0,PETG,62,Cubic,0,Yok,Basarili,1
SV07 Plus,0.4,0.16,212,69,30,233.0,ABS,37,Lightning,0,Yok,Warping (Kasa Acik),0
Ender-3 V3 KE,0.2,0.2,225,62,52,303.0,PETG,87,Cubic,0,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.2,229,44,37,286.0,Recine_UV,53,Lightning,1,Yok,Basarili,1
Photon Workshop Edition,0.4,0.16,279,102,40,157.0,PLA,9,Lightning,0,Tree,Hatali Malzeme (Reçine Cihazi),0
Creality K1C,0.4,0.12,278,98,50,267.0,ASA,51,Gyroid,1,Normal,Basarili,1
HALOT-One Plus,0.4,0.08,270,91,45,48.0,Recine_UV,88,Cubic,0,Tree,Basarili,1
Creality K1 Max,0.6,0.08,204,104,49,446.0,PLA,28,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Voron Trident,0.4,0.08,226,78,58,238.0,Recine_UV,99,Lightning,1,Tree,Basarili,1
Dreamer NX,0.6,0.08,193,42,40,316.0,PLA,48,Cubic,1,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.4,0.28,211,81,35,168.0,PLA,72,Lightning,1,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.08,270,110,26,341.0,Recine_UV,18,Gyroid,0,Tree,Basarili,1
Bambu Lab A1 Mini,0.4,0.16,211,66,41,101.0,ABS,40,Gyroid,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.4,0.08,270,67,26,41.0,ASA,55,Lightning,0,Yok,Warping (Kasa Acik),0
Photon Mono 2,0.6,0.2,267,93,21,399.0,TPU,10,Grid,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab X1 Carbon,0.4,0.08,267,54,56,370.0,PETG,21,Gyroid,0,Tree,Basarili,1
S1,0.4,0.12,206,92,33,396.0,PLA,86,Cubic,0,Normal,Tikanma (Yetersiz Akis),0
